id;material;material_description;abc_classification;avg_supplier_delay_last_90_days;max_supplier_delay_last_90_days;service_level;current_sap_safety_stock;proposed_safety_stock;delta_safety_stock;current_sap_safety_time;proposed_safety_time;delta_safety_time;open_sap_md_04;current_inventory_value;average_inventory_effect_after_change;new_sap_safety_stock;new_sap_safety_time;select_entries_for_change_in_sap;flag_material_as_special_case;commentary
1;programming expedite channels;optical Account;A;63600;42364;68583;20083;15085;94037;46835;82415;13901;Soap;97513;43548;76106;79188;true;false;Incredible granular Brazil
2;back Beauty deposit;Florida brand;A;31206;57078;39478;11434;46669;56226;53284;85291;59648;haptic;79847;14419;37708;73455;true;true;Applications projection Developer
3;Gorgeous brand;generate program Configurable;C;70657;14049;70700;59569;78800;5645;2840;12348;14965;Towels Object-based implement;15443;90629;69018;34506;false;true;South
4;Books;primary synthesize;A;14629;22756;89291;10585;34125;4624;23927;41816;98088;cross-platform schemas Flats;78900;12853;55798;87692;false;true;Bedfordshire intangible Colorado
5;Ergonomic Handcrafted Tasty;copying invoice data-warehouse;B;71843;23354;99091;24155;31014;3838;65325;50243;95218;orchestration Proactive;33278;66967;52290;71338;false;false;empower pink
6;copying;full-range navigate wireless;B;49930;49146;57546;31554;53702;29265;95143;599;57499;JSON Planner;56019;95784;37070;53917;true;true;RAM
7;Books;Gorgeous;B;85329;55013;3827;62987;99578;52686;11443;80556;71155;e-business Refined;17365;12676;24497;10654;false;true;Roads
8;Granite;Chicken array;A;83152;90664;50725;25516;85061;43101;75281;85201;67456;Electronics convergence;36727;55894;47427;54485;true;false;Ball
9;sticky Practical solutions;Berkshire programming Jordan;A;19994;80627;54042;70643;79973;38231;98650;24223;19589;seize panel;29354;58125;68461;67228;true;false;distributed hard Tennessee
10;Monetary;Bedfordshire Dinar;B;95869;21046;57026;49662;62449;66005;84121;5545;30342;generate Brunei;22115;88118;20218;34311;false;false;driver Dollar
