id;material;description;abc_classification;plant;mrp_controller;flag_material;flag_expiration_date
1;Checking Ramp;Roads;A;48975;Human;false;2023-12-20
2;needs-based Re-contextualized solid;intuitive card;C;50790;Planner SQL online;true;2023-12-20
3;connecting Pizza;Knoll;A;71239;Nevada Senior;false;2023-12-20
4;Bahrain Units;workforce;B;84774;generate Metal Implemented;true;2023-12-20
5;Junctions;Intelligent Buckinghamshire;A;53869;wireless Lead;true;2023-12-20
6;Principal Books clicks-and-mortar;Handmade Accounts violet;B;22862;Pizza;true;2023-12-20
7;Incredible Kids;Berkshire Senior Mali;B;13230;JSON;true;2023-12-19
8;mindshare;Kansas;A;46498;platforms;false;2023-12-20
9;tan implementation;Branding;A;49473;redundant Investor Small;true;2023-12-20
10;Denmark hack;rich Intelligent;C;81092;Bedfordshire Togo;false;2023-12-20
