id;material;description;abc_classification;plant;mrp_controller;avg_supplier_delay;max_supplier_delay;service_level;curr_sap_safety_stock;proposed_sst;delta_sst;current_sap_safe_time;proposed_st;delta_st;open_sa_pmd_04;current_inventory_value;unit_cost;avg_demand;avg_inventory_effect_after_change;flag_material;flag_expiration_date;jhi_comment;new_sap_safety_stock;new_sap_safety_time;date_new_ss;dat_new_st;previous_ss;previous_st;date_previous_ss;date_previous_st;to_save_updates;currency
1;Ergonomic District;exploit system aggregate;A;37699;redefine;74176;58906;23723;29534;80474;57816;98584;9771;15795;Soft Refined;15142;86570;89633;1659;false;2023-11-14;Berkshire transitional Nevada;33216;83470;2023-11-14;2023-11-14;35441;77262;2023-11-14;2023-11-14;true;BRL
2;feed quantifying engage;panel index;A;68216;Overpass Account;15385;78643;70227;12155;70058;10602;18097;1161;92327;Refined Account;79291;94112;69386;99438;true;2023-11-13;connecting;31963;42739;2023-11-14;2023-11-14;85296;84242;2023-11-14;2023-11-14;false;EUR
3;strategize;Bahamas;A;4063;hacking Account;85137;95837;65314;57934;94574;4778;64626;89208;97247;Coordinator Chair;93911;76796;18533;52612;true;2023-11-14;hacking copy overriding;24195;15282;2023-11-14;2023-11-14;43168;86099;2023-11-14;2023-11-13;true;SEK
4;Table Generic;TCP Stand-alone;B;63076;Intranet multi-byte deposit;84458;65215;77626;58228;7272;20755;15279;30532;12129;Dollar orchestrate back-end;11879;5641;36680;75818;false;2023-11-14;card disintermediate Solutions;7442;55098;2023-11-14;2023-11-13;99020;62928;2023-11-14;2023-11-14;false;SAR
5;Wooden markets;Chad;C;11234;Mobility Developer neural;19229;15440;645;46052;31415;60273;603;38185;78770;Kina (Keeling);54756;64623;55760;51882;false;2023-11-14;withdrawal EXE violet;85808;13840;2023-11-14;2023-11-14;51290;22555;2023-11-14;2023-11-14;false;EUR
6;Research Avon;architecture Berkshire alarm;A;22642;Dynamic Inverse;67771;11677;15190;17943;15508;16077;53890;67592;78826;Public-key Account;96605;13447;49306;77745;true;2023-11-14;recontextualize Assurance;87727;96579;2023-11-14;2023-11-13;69555;36239;2023-11-14;2023-11-14;true;MXN
7;Directives Incredible hack;experiences Applications;C;83151;innovative;52438;38314;49995;35494;38443;55071;51916;43942;9449;context-sensitive AGP pink;83613;26429;35534;39877;true;2023-11-14;azure Balboa bus;55457;71117;2023-11-14;2023-11-14;73384;10368;2023-11-14;2023-11-14;true;CHF
8;Unbranded European;front-end Sausages;A;79160;Bedfordshire;80136;70109;77952;62076;29390;48277;62118;39658;87318;web-enabled Ohio Executive;53093;15805;31119;78583;false;2023-11-14;AI Plastic;96602;95129;2023-11-14;2023-11-13;35018;7668;2023-11-14;2023-11-14;true;GBP
9;web-readiness Movies;generating Louisiana disintermediate;A;81982;Mountain;96432;17978;77204;55972;68187;61643;57940;14958;47475;Frozen Cotton;37009;13656;60687;52349;false;2023-11-13;quantifying;66173;32342;2023-11-14;2023-11-13;63738;62701;2023-11-14;2023-11-14;true;DKK
10;Hat compressing;Causeway Missouri;A;72302;Plastic;11518;62514;53897;95235;46667;14799;76020;80725;48541;Denar Director;8030;87876;66606;85557;false;2023-11-14;Roads turquoise;8385;12720;2023-11-14;2023-11-13;71085;83970;2023-11-14;2023-11-14;false;TRY
